Library Full Name,Library Number,Survey Year From,Ontario Library Service (OLS) Region (English),Type of Library Service (English),Mailing Address,Street Address,City/Town,Province,Postal Code,Web Site Address
East Gwillimbury,L0147,2017,Southern Ontario Library Service,Public or Union Library,19513 Yonge Street P.O. Box 1609   ,,Holland Landing,Ontario,L9N1P2,www.egpl.ca
East Hawkesbury Twp,L0028,2017,Southern Ontario Library Service,Contracting Municipality,C.P. 340 ,5151 County Road No. 14 ,St. Eugene,Ontario,K0B1P0,easthawkesbury.ca
Edwardsburgh/Cardinal Twp,L0467,2017,Southern Ontario Library Service,Public or Union Library,5 Henderson St. Box 130 ,5 Henderson Street ,Spencerville,Ontario,K0E1X0,www.edcarlibrary.ca
Elgin County,L0151,2017,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",450 Sunset Drive ,450 Sunset Drive ,St. Thomas,Ontario,N5R5V1,www.elgincounty.ca/library
Elizabethtown - Kitley,L0469,2017,Southern Ontario Library Service,Public or Union Library,R.R. #2 ,6544 New Dublin Road ,Addison,Ontario,K0E1A0,
Elliot Lake,L0152,2017,Ontario Library Service - North,Public or Union Library,4-40 Hillside Drive South ,4-40 Hillside Drive South ,Elliot Lake,Ontario,P5A1M7,http://www.elliotlakelibrary.com/en/
Emo Twp,L0098,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 490 ,JESSIE STREET ,Emo,Ontario,P0W1E0,www.emo.ca/library
Englehart,L0054,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 809 ,71 Fourth Avenue ,Englehart,Ontario,P0J1H0,http://www.englehartpubliclibrary.ca
Espanola,L0052,2017,Ontario Library Service - North,Public or Union Library,245 Avery Drive ,,Espanola,Ontario,P5E1S4,www.espanola.library.on.ca
Essa,L0387,2017,Southern Ontario Library Service,Public or Union Library,8505 County Road 10 Unit #1 ,,Angus,Ontario,L0M1B1,http://www.essa.library.on.ca
Essex County,L0153,2017,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",360 Fairview Avenue West Suite 101 ,,Essex,Ontario,N8M1Y3,www.essexcountylibrary.ca
Evanturel Twp,L0150,2017,Ontario Library Service - North,Contracting Municipality,P.O. Box 209 ,245453 Highway 569 ,Englehart,Ontario,P0J1H0,www.evanturel.com
Faraday Twp,L0155,2017,Southern Ontario Library Service,Contracting Municipality,29860 Hwy 28 South  R. R. # 3 ,,Bancroft,Ontario,K0L1C0,www.faraday.ca
Fauquier-Strickland Twp,L0055,2017,Ontario Library Service - North,Public or Union Library,Centre Communautaire C.P. 100 ,25 chemin Grzela ,Fauquier,Ontario,P0L1G0,bibliofauquier.weebly.com
Fort Erie,L0156,2017,Southern Ontario Library Service,Public or Union Library,136 Gilmore Road ,,Fort Erie,Ontario,L2A2M1,www.forterie.library.on.ca
Fort Frances,L0157,2017,Ontario Library Service - North,Public or Union Library,601 Reid Avenue ,601 Reid Avenue ,Fort Frances,Ontario,P9A0A2,http://ffpltc.ca/
French River,L0325,2017,Ontario Library Service - North,Public or Union Library,PO Box 130 ,15 Dollard Street ,Noelville,Ontario,P0M2N0,http://www.olsn.ca/frenchriverpl/index.html
Front of Yonge Twp,L0448,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box  250 ,76 County Road 5 S. ,Mallorytown,Ontario,K0E1R0,www.frontofyonge.com/library
Gananoque,L0160,2017,Southern Ontario Library Service,Public or Union Library,100 Park Street ,100 Park Street ,Gananoque,Ontario,K7G2Y5,http://www.gananoquelibrary.ca/
Garden River FN,L0404,2017,Ontario Library Service - North,First Nations Library,48 Syrette Lake Road ,,Garden River,Ontario,P6A5K9,www.gardenriver.ca
Georgian Bay Twp,L0162,2017,Southern Ontario Library Service,Public or Union Library,2587 Honey Harbour Road P.O. Box 220 ,2587 Honey Harbour Road P.O. Box 220 ,Honey Harbour,Ontario,P0E1E0,http://www.gbpl.ca
Georgina,L0072,2017,Southern Ontario Library Service,Public or Union Library,90 Wexford Drive ,,Keswick,Ontario,L4P3P7,www.georginalibrary.ca
Gillies Twp,L0164,2017,Ontario Library Service - North,Contracting Municipality,1092 Hwy. #595 R.R. #1 ,,"Kakabeka Falls,   ON",Ontario,P0T1W0,www.gilliestownship.ca
Gogama LSB,L0465,2017,Ontario Library Service - North,LSB Library,P.O. Box  190 ,15 Low Avenue ,Gogama,Ontario,P0M1W0,glsb10@ontera.net
Gore Bay Union,L0302,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 225 ,15 Water Street ,Gore Bay,Ontario,P0P1H0,olsn.ca/gorebay/index.html
Goulais & District LSB,L0484,2017,Ontario Library Service - North,Contracting LSB,50 Goulais Bay Road ,50 Goulais Bay Road ,Goulais River,Ontario,P0S1E0,GoulaisLSB@hotmail.ca
Grand Valley Library Board,L0073,2017,Southern Ontario Library Service,Public or Union Library,4 Amaranth St. E. ,4 Amaranth Street East ,Grand Valley,Ontario,L9W5L2,www.grandvalley.org
Gravenhurst Public Library,L0168,2017,Southern Ontario Library Service,Public or Union Library,180 Sharpe Street West ,180 Sharpe Street West ,Gravenhurst,Ontario,P1P1J1,www.gravenhurstlibrary.ca
Greater Madawaska Twp,L0478,2017,Southern Ontario Library Service,Public or Union Library,4984 Calabogie Road P.O. Box 160 ,,Calabogie,Ontario,K0J1H0,http://www.townshipofgreatermadawaska.com/library.htm
Greater Sudbury,L0470,2017,Ontario Library Service - North,Public or Union Library,74 MacKenzie Street ,74 MacKenzie Street ,Greater Sudbury,Ontario,P3C4X8,www.sudburylibraries.ca
Greenstone,L0471,2017,Ontario Library Service - North,Public or Union Library,Second Street West P.O. Box 40 ,405 2nd Street West ,Geraldton,Ontario,P0T1M0,www.olsn.ca/greenstone
Grey Highlands,L0472,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 280 ,101 Highland Drive ,Flesherton,Ontario,N0C1E0,www.greyhighlandspubliclibrary.com
Grimsby,L0169,2017,Southern Ontario Library Service,Public or Union Library,18 Carnegie Lane ,18 Carnegie Lane ,Grimsby,Ontario,L3M1Y1,http://grimsby.ca/library
Guelph,L0389,2017,Southern Ontario Library Service,Public or Union Library,100 Norfolk Street ,100 Norfolk Street ,Guelph,Ontario,N1H4J6,http://www.guelphpl.ca
Haldimand County,L0473,2017,Southern Ontario Library Service,Public or Union Library,Box 187 ,111 Broad St. East ,Dunnville,Ontario,N1A2X5,http://library.haldimandcounty.on.ca
Haliburton County,L0171,2017,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",P.O. Box 119 ,78 Maple Ave. ,Haliburton,Ontario,K0M1S0,www.haliburtonlibrary.ca
Hallebourg LSB,L0172,2017,Ontario Library Service - North,Contracting LSB,General Delivery ,General Delivery ,Hallebourg,Ontario,P0L1L0,lsbhallebourg@hotmail.com
Halton Hills,L0326,2017,Southern Ontario Library Service,Public or Union Library,9 Church Street ,9 Church Street ,Georgetown,Ontario,L7G2A3,http://www.hhpl.on.ca/
Hamilton,L0474,2017,Southern Ontario Library Service,Public or Union Library,LCD 1 P.O. Box 2700 ,55 York Blvd. ,Hamilton,Ontario,L8N4E4,www.hpl.ca
Hamilton Twp,L0173,2017,Southern Ontario Library Service,Contracting Municipality,P.O. Box 1060 ,8285 Majestic Hills Drive RR #4 ,Cobourg,Ontario,K9A4W5,www.hamiltontownship.ca
Hanover,L0174,2017,Southern Ontario Library Service,Public or Union Library,451 10th Avenue ,451 10th Avenue ,Hanover,Ontario,N4N2P1,www.hanoverlibrary.ca
Harley Twp,L0175,2017,Ontario Library Service - North,Contracting Municipality,903303 Hanbury Road R.R. #2 ,903303 Hanbury Rd ,New Liskeard,Ontario,P0J1P0,harlytwp@parolink.net
Hastings Highlands Twp,L0475,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 70 ,33011 Hwy. #62 North ,Maynooth,Ontario,K0L2S0,www.hastingshighlandspubliclibrary.ca
Havelock-Belmont-Methuen Twp,L0058,2017,Southern Ontario Library Service,Public or Union Library,PO  Box 10 ,13 Quebec Street ,Havelock,Ontario,K0L1Z0,www.hbmlibrary.on.ca
Hawk Junction LSB,L0177,2017,Ontario Library Service - North,Contracting LSB,P.O. Box 62 ,96 Cedar Street ,Hawk Junction,Ontario,P0S1G0,
Hawkesbury,L0059,2017,Southern Ontario Library Service,Public or Union Library,550 rue Higginson ,,Hawkesbury,Ontario,K6A1H1,www.bibliotheque.hawkesbury.on.ca
"Head, Clara & Maria",L0179,2017,Southern Ontario Library Service,Public or Union Library,15 Township Hall Road ,15 Township Hall Road ,Stonecliffe,Ontario,K0J2K0,http://hcmpubliclibrary.ca/
Hearst Twp,L0180,2017,Ontario Library Service - North,Public or Union Library,P.O. Bag 15000 ,801 George Street ,Hearst,Ontario,P0L1N0,www.bibliohearst.on.ca
Henvey Inlet FN,L0460,2017,Ontario Library Service - North,First Nations Library,368 Pickerel River Road ,,Pickerel,Ontario,P0G1J0,maheengun12@hotmail.com
Hilton Union,L0183,2017,Ontario Library Service - North,Public or Union Library,3085 Marks Street Box 85 ,3085 Marks Street ,Hilton Beach,Ontario,P0R1G0,http://hiltonunion.library.on.ca
Hornepayne Twp,L0184,2017,Ontario Library Service - North,Public or Union Library,Front Street  P.O. Box 539 ,68 Front Street ,Hornepayne,Ontario,P0M1Z0,http://www.olsn.ca/hornepayne/
Hudson Twp,L0186,2017,Ontario Library Service - North,Contracting Municipality,903303 Hanbury Road R.R. #2 ,903303 Hanbury Rd ,New Liskeard,Ontario,P0J1P0,harlytwp@parolink.net
Huntsville,L0185,2017,Southern Ontario Library Service,Public or Union Library,7 Minerva Street East ,7 Minerva Street East ,Huntsville,Ontario,P1H1W4,www.huntsvillelibrary.ca
Hurkett LSB,L0187,2017,Ontario Library Service - North,Contracting LSB,R.R. #1 ,,Hurkett,Ontario,P0T1K0,
Huron County,L0188,2017,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",77722B London Road R.R. #5 ,,Clinton,Ontario,N0M1L0,www.huroncounty.ca/library
